System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
K,1,0,0,25FV47,0.396644,7.20929e-05,5502.24,34,434,9.24841e-05,0.0117802,16.3299
K,1,2,1,80BAU3B,1609.74,0.00163056,985622,70,2020,56718.4,2.78765e+08,320.012
S,1,3,0,ADLITTLE,206.001,0.000913552,225289,120,531,0.05007,0.298473,0.417807
S,1,0,0,AFIRO,2.51213e-07,5.40531e-10,-464.753,47,63,5.15008e-05,0.00113898,0.023753
K,0,3,0,AGG,806329,0.0224031,-3.67981e+07,120,520,5.37207,0.0335367,2.0735
K,1,0,0,AGG2,0.0231809,1.14535e-09,-2.02393e+07,43,328,4.93632e-05,0.062562,2.82969
K,1,0,0,AGG3,0.000315106,3.05568e-11,1.03121e+07,43,343,9.4724e-05,0.0544287,3.44891
S,1,0,0,BANDM,0.0544479,0.000343243,-158.574,32,186,8.78707e-05,3.00402e-06,2.06814
S,1,3,0,BEACONFD,145.433,0.00432934,33737.9,120,1902,0.000180775,1.05217e-06,3.42487
S,1,0,0,BLEND,2.40841e-06,7.81642e-08,-30.8121,26,64,3.72253e-05,0.00588229,0.131007
K,1,3,0,BNL1,4.5078,0.0022794,1973.12,120,1789,0.00465909,0.246169,34.7108
K,1,0,0,BNL2,3.50462e-06,1.93493e-09,1811.24,65,1600,6.49919e-05,0.00999254,103.256
S,1,0,0,BOEING1,0.158095,0.000471624,-335.055,89,818,6.90328e-05,0.0304948,8.43104
S,1,0,0,BOEING2,1.33782e-06,4.24679e-09,-315.019,53,251,6.03636e-06,0.00742423,1.0221
S,1,0,0,BORE3D,9.22712,0.00672002,1382.31,53,200,8.71026e-05,0.0830138,1.93759
S,1,0,0,BRANDY,8.85978e-06,5.83452e-09,1518.51,64,345,2.39895e-05,0.00414892,2.4651
K,1,0,0,CAPRI,7.23157e-06,2.6883e-09,2690.01,47,305,2.1459e-05,0.000125505,2.39128
K,0,2,1,CYCLE,0.412373,0.078902,-4.81402,96,2007,444.642,188874,138.444
S,0,2,1,CZPROB,62730.2,0.0287069,2.12247e+06,77,2025,80407.6,5.10604e+07,58.2817
S,1,2,1,D2Q06C,1102.42,0.00897852,123887,70,2020,2017.98,1.27154e+07,207.79
S,1,3,0,D6CUBE,0.162807,0.000516043,315.654,120,475,0.00232822,4.62308e-07,39.5878
S,1,0,0,DEGEN2,2.46509e-05,1.71762e-08,-1435.18,92,251,9.19358e-05,0.0648318,3.93771
K,1,0,0,DEGEN3,3.65422e-08,3.70125e-11,-987.294,58,137,1.64153e-05,0.00077851,9.27455
S,0,3,0,DFL001,3.75848e+10,3336,3.7596e+10,120,461,44.8315,0.000435382,75.8345
S,0,0,0,E226,7.11304,0.379323,-11.6389,79,308,6.02639e-05,0.119417,2.02783
S,1,0,0,ETAMACRO,0.00215489,2.85146e-06,-755.713,36,258,6.34996e-05,0.0633896,3.06345
S,1,2,1,FFFFF800,2457.17,0.00442192,558137,73,2003,1.9477e+06,3.519e+07,33.2615
S,1,3,0,FINNIS,0.009952,5.75956e-08,172791,120,674,0.00528126,0.224498,9.56774
S,1,0,0,FIT1D,0.165544,1.80994e-05,-9146.54,49,544,9.95287e-05,0.108531,5.31464
S,1,3,0,FIT1P,0.00654275,7.15338e-07,9146.37,120,1097,0.000269175,4.43787e-07,449.828
S,1,0,0,FIT2D,0.998254,1.45806e-05,-68465.3,50,959,8.33379e-05,0.0871119,202.663
S,1,0,0,FIT2P,0.0723607,1.05691e-06,68464.2,100,764,9.73504e-05,8.28995e-07,22308.9
S,0,3,0,FORPLAN,197.594,0.297483,-466.625,120,663,0.000678828,0.000683678,3.0164
S,1,0,0,GANGES,0.626403,5.71606e-06,-109586,56,724,3.42456e-05,0.000559504,24.8467
S,1,3,0,GFRD-PNC,12330.2,0.0017864,6.91457e+06,120,1710,0.0047929,1.88188e-05,13.2914
S,0,2,1,GREENBEA,3.33477e+07,0.460207,-3.91147e+07,74,2007,1.82482e+06,1.55176e+09,309.383
S,1,2,1,GREENBEB,5609.57,0.0013039,-4.30776e+06,71,2023,4720.88,7.85626e+06,223.628
S,0,3,0,GROW15,9.75522e+07,0.912804,-9.31876e+06,120,791,0.445482,7.00627e-07,6.17612
S,0,2,0,GROW22,3.66918e+06,0.0228134,-1.57165e+08,104,2029,0.0989894,7.1696e-06,28.9972
S,1,2,0,GROW7,264244,0.00552953,-4.75236e+07,104,2000,0.035791,6.6018e-05,9.32384
K,1,0,0,ISRAEL,0.00161532,1.80151e-09,-896645,29,217,6.73032e-05,0.0320867,0.706136
S,1,0,0,KB2,2.95249e-05,1.68723e-08,-1749.9,57,276,5.35906e-05,0.0128261,0.210061
K,0,3,0,LOTFI,206.441,8.17112,181.176,120,607,0.000404183,2.16839e-05,2.76467
LDLT factorization of the augmented Lagrangian system failed.,0,-1,0,MAROS,-1,-1,-1,-1,-1,-1,-1,-1
S,1,3,0,MAROS-R7,659.275,0.000440343,1.49784e+06,120,931,0.0263167,5.36706e-07,1375.41
S,0,3,0,MODSZK1,594248,1853.43,594568,120,1434,0.00084364,9.80094e-07,25.7331
S,1,2,0,NESM,37501.6,0.00266421,1.40386e+07,107,2000,0.99907,0.0417471,58.8977
S,0,2,1,PEROLD,1825.1,0.194558,-7555.66,83,2012,16495.6,56797.5,48.9321
K,0,2,1,PILOT,27.2924,0.0489633,-530.112,72,2000,394782,4.24925e+06,449.023
S,0,2,1,PILOT.JA,6113.14,1,0.00479092,103,2013,207.779,410722,125.77
S,0,3,0,PILOT.WE,1.49573e+06,0.549881,-1.22437e+06,120,908,13.8449,0.809974,24.3339
S,0,2,1,PILOT4,1904.31,0.73778,-676.827,104,2010,187469,424468,33.4895
