table,choice,nc,n_display,alpha2,k_param,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
convdiff_both,convdiff,7,33282,0.1,,0.0,0.2,-0.75,0.75,0,1,57,207,2.295680633236123e-11,3.5955413330000003,0.012271846303071357,1,1,9,16,7.753276019660605e-11,0.571455665,3.0496052650981783e-16,,,,,,
convdiff_both,convdiff,7,33282,0.01,,0.0,0.5,-2.0,2.0,0,1,50,129,6.691830515966997e-11,6.1171929590000005,0.01227184630294776,1,1,9,14,5.290583992198103e-12,0.44214783199999996,-1.374747251299724e-13,,,,,,
convdiff_both,convdiff,7,33282,0.001,,0.0,0.5,-3.0,3.0,0,1,5,5,6.307536072335879e-12,0.36318620900000004,0.012271846301723588,1,1,7,10,4.0256327171216594e-11,0.206210165,-1.2945109532990677e-12,,,,,,
convdiff_both,convdiff,7,33282,0.0001,,0.0,0.75,-5.0,5.0,0,1,5,5,1.5042750745256333e-11,0.35213574999999997,0.012271846296950807,1,1,7,10,2.450282957851595e-11,0.19788554,-4.108010385753971e-12,,,,,,
convdiff_both,convdiff,7,33282,1e-05,,0.0,0.75,-6.0,6.0,0,1,5,5,1.961880511447995e-11,0.34792533400000003,0.012271846294984705,1,1,7,10,3.2454082045326867e-11,0.199876123,-4.923067843056528e-12,,,,,,
convdiff_both,convdiff,8,132098,0.1,,0.0,0.2,-0.75,0.75,0,1,3,3,2.0655012509671894e-12,1.541805083,0.01227184630308479,1,1,9,18,5.54095155150062e-12,6.788162206999999,1.7753931892964556e-16,,,,,,
convdiff_both,convdiff,8,132098,0.01,,0.0,0.5,-2.0,2.0,0,1,3,3,1.5671031744330158e-12,1.396564708,0.012271846303082864,1,1,9,18,5.480289626669046e-11,6.67335554,1.7327176902821827e-15,,,,,,
convdiff_both,convdiff,8,132098,0.001,,0.0,0.5,-3.0,3.0,0,1,3,3,1.7109923180738094e-12,1.50769675,0.012271846303073135,1,1,20,57,9.304957864945467e-11,18.698662457,-2.0945349064155523e-14,,,,,,
convdiff_both,convdiff,8,132098,0.0001,,0.0,0.75,-5.0,5.0,0,1,3,3,1.6633447945369345e-12,1.493716625,0.012271846303067342,1,1,17,56,8.625413307257936e-11,22.980515166,-6.999739978333604e-14,,,,,,
convdiff_both,convdiff,8,132098,1e-05,,0.0,0.75,-6.0,6.0,0,1,3,3,1.6208630661895383e-12,1.42843375,0.012271846303066524,1,1,17,58,7.46182675054696e-11,24.375632707,-8.371477969907649e-14,,,,,,
convdiff_both,convdiff,9,526338,0.1,,0.0,0.2,-0.75,0.75,0,1,3,3,1.7934657846389285e-12,8.689959208000001,0.012271846303084848,1,1,10,29,2.125558645971708e-12,132.553621416,2.381263339411006e-18,,,,,,
convdiff_both,convdiff,9,526338,0.01,,0.0,0.5,-2.0,2.0,0,1,3,3,4.824824335328012e-13,8.573751249999999,0.012271846303084826,1,1,10,28,1.8984050565398953e-12,125.254523624,2.0760335501199237e-17,,,,,,
convdiff_both,convdiff,9,526338,0.001,,0.0,0.5,-3.0,3.0,0,1,3,3,4.891902265639071e-13,8.524896208,0.012271846303084803,1,1,10,27,7.603017122300246e-12,118.065923415,8.802638692588254e-18,,,,,,
convdiff_both,convdiff,9,526338,0.0001,,0.0,0.75,-5.0,5.0,0,1,3,3,4.853468000928998e-13,8.588400042,0.0122718463030848,1,1,10,27,7.87133023707743e-12,118.27542604,1.1704474251339102e-19,,,,,,
convdiff_both,convdiff,9,526338,1e-05,,0.0,0.75,-6.0,6.0,0,1,3,3,4.3495805268023803e-13,8.605595375000002,0.0122718463030848,1,1,10,27,9.714021730684563e-12,118.618713749,-9.667148907768806e-19,,,,,,
convdiff_both,convdiff,10,2101250,0.1,,0.0,0.2,-0.75,0.75,0,1,3,3,5.995639576881629e-13,110.121215292,0.012271846303084057,1,1,10,36,5.3426350421400607e-11,1763.679197457,-8.997513607889647e-18,,,,,,
convdiff_both,convdiff,10,2101250,0.01,,0.0,0.5,-2.0,2.0,0,1,3,3,5.751036295175805e-13,110.70725387499999,0.012271846303084057,1,1,10,36,4.978959587914149e-11,1765.066522831,-9.022920781711184e-18,,,,,,
convdiff_both,convdiff,10,2101250,0.001,,0.0,0.5,-3.0,3.0,0,1,3,3,5.065962284740002e-13,112.10567750000001,0.012271846303084057,1,1,10,34,4.932827977116227e-11,1632.35783754,-9.080872850299829e-18,,,,,,
convdiff_both,convdiff,10,2101250,0.0001,,0.0,0.75,-5.0,5.0,0,1,3,3,5.391309194039341e-13,110.689635333,0.012271846303084057,1,1,10,34,3.949164156160026e-11,1629.187223166,-9.092026101414701e-18,,,,,,
convdiff_both,convdiff,10,2101250,1e-05,,0.0,0.75,-6.0,6.0,0,1,3,3,5.36487560568781e-13,110.965348042,0.012271846303084057,1,1,10,34,3.945278688079505e-11,1624.822234873,-9.093155919579569e-18,,,,,,
