table,choice,nc,n_display,alpha2,k_param,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
helmholtz,helmholtz,7,33282,0.01,20.0,-0.0005,0.0005,-inf,inf,0,1,2,2,3.0303607916000316e-11,0.117145042,0.12499999999656089,1,1,9,13,2.2257460786046705e-10,0.207116123,-3.219276618368096e-13,,,,,,
helmholtz,helmholtz,7,33282,0.0001,20.0,-0.05,0.05,-inf,inf,0,1,2,2,2.9499115784156107e-11,0.115040666,0.12499999999008805,1,1,9,13,1.5884049291719908e-10,0.205739081,-1.2155746578173728e-11,,,,,,
helmholtz,helmholtz,7,33282,1e-06,20.0,-0.6,0.6,-inf,inf,0,1,2,2,3.059214448406804e-11,0.118923583,0.12499999998903256,1,1,9,13,2.362329653864379e-10,0.20667866499999998,-1.568121553509029e-11,,,,,,
helmholtz,helmholtz,7,33282,0.01,50.0,-1e-05,1e-05,-inf,inf,0,1,2,2,3.3316926631507208e-12,0.116031167,0.1249999999999908,1,1,6,8,1.9566958038202595e-10,0.18857504000000003,-1.106621103571627e-14,,,,,,
helmholtz,helmholtz,7,33282,0.0001,50.0,-0.001,0.001,-inf,inf,0,1,2,2,3.2421771124689296e-12,0.117276541,0.12499999999983866,1,1,6,8,1.956675596518823e-10,0.190867333,-1.6321365697141212e-13,,,,,,
helmholtz,helmholtz,8,132098,0.01,20.0,-0.0005,0.0005,-inf,inf,0,1,2,2,1.4958340193483443e-10,1.388523708,0.12499999994967512,1,1,9,15,2.2669453157549202e-10,2.479609623,-2.5854110378012014e-14,,,,,,
helmholtz,helmholtz,8,132098,0.0001,20.0,-0.05,0.05,-inf,inf,0,1,2,2,1.4960364701156047e-10,1.38027675,0.12499999994957645,1,1,9,14,9.895169727681747e-10,2.371003457,-2.0117261796817055e-12,,,,,,
helmholtz,helmholtz,8,132098,1e-06,20.0,-0.6,0.6,-inf,inf,0,1,2,2,1.4959504169311418e-10,1.3779668340000002,0.12499999994957195,1,1,9,15,2.2669891127493971e-10,2.392947831,-4.9955018009679895e-11,,,,,,
helmholtz,helmholtz,8,132098,0.01,50.0,-1e-05,1e-05,-inf,inf,0,1,2,2,2.0005747371606335e-12,1.3874771670000001,0.12499999999997236,1,1,6,8,8.352675454641491e-10,1.554264207,-1.0562920619278866e-13,,,,,,
helmholtz,helmholtz,8,132098,0.0001,50.0,-0.001,0.001,-inf,inf,0,1,2,2,1.881310879054249e-12,1.380827542,0.12499999999997004,1,1,6,8,8.352670722668694e-10,1.568950249,-1.0794836987102648e-13,,,,,,
helmholtz,helmholtz,9,526338,0.01,20.0,-0.0005,0.0005,-inf,inf,0,1,3,3,4.456282689665633e-10,12.052989166,0.12500000029994307,1,1,26,41,3.7679943432258695e-10,16.994111705999998,4.14841819137133e-14,,,,,,
helmholtz,helmholtz,9,526338,0.0001,20.0,-0.05,0.05,-inf,inf,0,1,3,3,4.456452279899348e-10,12.115150332999999,0.12500000029994132,1,1,17,28,2.447162912044684e-10,16.196713581,1.3797959616600967e-14,,,,,,
helmholtz,helmholtz,9,526338,1e-06,20.0,-0.6,0.6,-inf,inf,0,1,3,3,4.45639935296946e-10,12.135780084,0.12500000029994127,1,1,17,28,2.447163091198446e-10,16.174845165,1.3495993810810305e-14,,,,,,
helmholtz,helmholtz,9,526338,0.01,50.0,-1e-05,1e-05,-inf,inf,0,1,2,2,4.3061858207230354e-12,8.098323500000001,0.12499999999955647,1,1,9,13,3.0542452974561175e-10,14.831619957000001,1.7382142616356675e-15,,,,,,
helmholtz,helmholtz,9,526338,0.0001,50.0,-0.001,0.001,-inf,inf,0,1,2,2,4.3073314926657934e-12,8.152445,0.12499999999955645,1,1,9,13,3.0543072878087965e-10,14.781555331,1.6768485083176219e-15,,,,,,
helmholtz,helmholtz,10,2101250,0.01,20.0,-0.0005,0.0005,-inf,inf,0,1,4,4,6.23273994612769e-10,216.466607041,0.12500000083915147,1,1,183,278,8.613860082070572e-10,465.84875649900005,5.431080495733393e-15,,,,,,
helmholtz,helmholtz,10,2101250,0.0001,20.0,-0.05,0.05,-inf,inf,0,1,4,4,6.23278230640123e-10,218.339166166,0.12500000083915147,1,1,237,336,6.677275871645163e-10,485.68596454100003,1.5378239136934494e-14,,,,,,
helmholtz,helmholtz,10,2101250,1e-06,20.0,-0.6,0.6,-inf,inf,0,1,4,4,6.232760645707884e-10,216.954905541,0.12500000083915147,1,1,245,370,6.217337274966762e-10,552.6832809150001,-5.033042047773928e-15,,,,,,
helmholtz,helmholtz,10,2101250,0.01,50.0,-1e-05,1e-05,-inf,inf,0,1,2,2,3.442077796698193e-11,109.30448325,0.12499999999289703,1,1,152,229,1.762030105816364e-10,347.20584199900003,8.028366342949294e-15,,,,,,
helmholtz,helmholtz,10,2101250,0.0001,50.0,-0.001,0.001,-inf,inf,0,1,2,2,3.4421704023744656e-11,109.70316150000001,0.12499999999289703,1,1,211,317,9.926290734874389e-10,432.57623129,9.056446196211117e-14,,,,,,
