table,choice,nc,n_display,alpha2,k_param,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson3d_control,poisson3d,4,9826,1.0,,-inf,inf,0.0,0.01,0,1,2,2,6.2609645291043294e-12,0.212642792,0.0019225598386333484,1,1,5,7,3.2574630035923626e-10,0.208313958,-8.70643475293025e-14,,,,,,
poisson3d_control,poisson3d,4,9826,0.1,,-inf,inf,0.0,0.1,0,1,2,2,8.467028373804545e-12,0.210180083,0.0019225598383643809,1,1,5,7,3.257372715131785e-10,0.208130999,-3.56030898434198e-13,,,,,,
poisson3d_control,poisson3d,4,9826,0.01,,-inf,inf,0.0,1.0,0,1,2,2,1.5244852810984688e-11,0.215223583,0.0019225598356792735,1,1,5,7,3.2564849147879457e-10,0.20876004,-3.0411532396067822e-12,,,,,,
poisson3d_control,poisson3d,4,9826,0.001,,-inf,inf,0.0,3.0,0,1,2,2,1.125799322089489e-10,0.2109535,0.0019225598113007303,1,1,5,7,3.25016227530083e-10,0.206769165,-2.7419905218840015e-11,,,,,,
poisson3d_control,poisson3d,4,9826,0.0001,,-inf,inf,0.0,20.0,0,1,2,2,3.1140622593135486e-10,0.211612583,0.0019225597328793205,1,1,5,7,3.23726571980654e-10,0.20720195700000002,-1.0584228790083342e-10,,,,,,
poisson3d_control,poisson3d,4,9826,1e-05,,-inf,inf,0.0,100.0,0,1,2,2,3.781997280776591e-10,0.21099125000000002,0.00192255969791043,1,1,5,7,3.782038752027719e-10,0.206600915,-1.4081167014722271e-10,,,,,,
poisson3d_control,poisson3d,4,9826,1e-06,,-inf,inf,0.0,300.0,0,1,2,2,3.8648956012306543e-10,0.214098291,0.0019225596932678478,1,1,5,7,3.8649377899912507e-10,0.210074123,-1.454543192109398e-10,,,,,,
poisson3d_control,poisson3d,5,71874,1.0,,-inf,inf,0.0,0.01,0,1,2,2,7.761189578453974e-12,31.712853833,0.0019225598077164364,1,1,10,14,4.5635672808731854e-11,37.080775624,-3.796190100901727e-16,,,,,,
poisson3d_control,poisson3d,5,71874,0.1,,-inf,inf,0.0,0.1,0,1,2,2,6.365331471747408e-12,31.8430365,0.0019225598077122806,1,1,10,14,4.03179760791377e-11,37.419357957,-4.540156738794639e-15,,,,,,
poisson3d_control,poisson3d,5,71874,0.01,,-inf,inf,0.0,1.0,0,1,2,2,7.500071471754917e-12,32.16349,0.0019225598076734879,1,1,10,14,3.923164012498695e-11,37.347753415999996,-4.613622366982782e-14,,,,,,
poisson3d_control,poisson3d,5,71874,0.001,,-inf,inf,0.0,3.0,0,1,2,2,7.682900475915643e-12,31.877069,0.0019225598075259924,1,1,10,14,4.729207971302405e-11,37.725071,-3.6869394727796643e-13,,,,,,
poisson3d_control,poisson3d,5,71874,0.0001,,-inf,inf,0.0,20.0,0,1,2,2,7.230444068275748e-12,31.813406958,0.0019225598074471535,1,1,10,14,4.084418849308079e-11,38.105641499,-7.628938228799505e-13,,,,,,
poisson3d_control,poisson3d,5,71874,1e-05,,-inf,inf,0.0,100.0,0,1,2,2,7.50972129702243e-12,31.743896125,0.0019225598074360298,1,1,10,14,3.982275629687587e-11,37.533361958,-8.374632909075187e-13,,,,,,
poisson3d_control,poisson3d,5,71874,1e-06,,-inf,inf,0.0,300.0,0,1,2,2,8.771568030821084e-12,32.100690041,0.0019225598074348723,1,1,10,14,4.182540123223625e-11,36.906663332,-8.455288382850195e-13,,,,,,
