table,choice,nc,n_display,alpha2,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson_control,poisson,7,33282,1.0,-inf,inf,0.0,0.01,0,1,4,4,2.098510885806719e-10,0.229039541,0.012271846426485504,1,1,10,17,1.6153608010112221e-10,0.30289458199999997,-1.503448899178973e-13,,,,,,
poisson_control,poisson,7,33282,0.1,-inf,inf,0.0,0.1,0,1,4,4,2.0985957218392094e-10,0.229874083,0.012271846426112384,1,1,12,21,2.0200101059433015e-10,0.315561165,-3.6119607607625015e-13,,,,,,
poisson_control,poisson,7,33282,0.01,-inf,inf,0.0,1.0,0,1,4,4,2.0964389636347406e-10,0.232737583,0.012271846422377823,1,1,12,22,2.2113397036906058e-10,0.324232874,-4.0913758940443666e-12,,,,,,
poisson_control,poisson,7,33282,0.001,-inf,inf,0.0,3.0,0,1,4,4,2.096075209651198e-10,0.232571875,0.0122718463873904,1,1,12,21,2.0687649282418816e-10,0.32332316499999997,-4.1267430126318253e-11,,,,,,
poisson_control,poisson,7,33282,0.0001,-inf,inf,0.0,20.0,0,1,4,4,2.0973627403444057e-10,0.23066675,0.012271846302155782,1,1,10,18,1.4711120321355764e-10,0.30199854,-1.8678167613028923e-10,,,,,,
poisson_control,poisson,7,33282,1e-05,-inf,inf,0.0,100.0,0,1,4,4,2.0976348193674942e-10,0.229007291,0.012271846277426963,1,1,12,21,2.0043607472427325e-10,0.31301578999999996,-2.941453435628578e-10,,,,,,
poisson_control,poisson,7,33282,1e-06,-inf,inf,0.0,300.0,0,1,4,4,2.0968928299819887e-10,0.22944175000000003,0.012271846274544739,1,1,10,17,1.8308021271492385e-10,0.297736791,-2.547365784420814e-10,,,,,,
poisson_control,poisson,8,132098,1.0,-inf,inf,0.0,0.01,0,1,5,5,1.787168920791451e-10,3.4333189170000002,0.012271846339536577,1,1,240,470,4.694451118381062e-10,12.10364254,1.0341449774365769e-13,,,,,,
poisson_control,poisson,8,132098,0.1,-inf,inf,0.0,0.1,0,1,5,5,1.656732282735392e-10,3.440838625,0.012271846339513438,1,1,273,535,6.044225323431245e-10,13.361880707,9.026843034680399e-14,,,,,,
poisson_control,poisson,8,132098,0.01,-inf,inf,0.0,1.0,0,1,5,5,1.8274097062893624e-10,3.42199075,0.012271846339278686,1,1,273,535,4.865874051863284e-10,13.369634374,-1.4284357529761288e-13,,,,,,
poisson_control,poisson,8,132098,0.001,-inf,inf,0.0,3.0,0,1,5,5,1.751079766001798e-10,3.4395166660000003,0.012271846337738434,1,1,290,569,9.884158865876327e-10,14.034195416000001,-5.471214228336906e-12,,,,,,
poisson_control,poisson,8,132098,0.0001,-inf,inf,0.0,20.0,0,1,5,5,1.5915602052740356e-10,3.4363448749999996,0.012271846336481115,1,1,269,527,7.435739905982711e-10,13.289523582000001,-2.5292464761933392e-11,,,,,,
poisson_control,poisson,8,132098,1e-05,-inf,inf,0.0,100.0,0,1,5,5,1.7458910669332056e-10,3.4425965,0.012271846336285372,1,1,240,470,5.676175175026632e-10,12.128242374000001,-7.786537242354017e-11,,,,,,
poisson_control,poisson,8,132098,1e-06,-inf,inf,0.0,300.0,0,1,5,5,1.7559261577266714e-10,3.42827575,0.012271846336264783,1,1,250,490,4.5911788574230175e-10,12.704046248,-9.508246631784327e-11,,,,,,
poisson_control,poisson,9,526338,1.0,-inf,inf,0.0,0.01,0,1,11,11,4.2317565793479717e-10,44.127462583,0.012271846190023198,1,1,17,34,2.143867878990842e-10,44.490466291,5.421297181527479e-15,,,,,,
poisson_control,poisson,9,526338,0.1,-inf,inf,0.0,0.1,0,1,11,11,4.2012987123833406e-10,44.423937958,0.012271846190021713,1,1,17,34,2.1733310177343663e-10,44.528340915,3.966194614088732e-15,,,,,,
poisson_control,poisson,9,526338,0.01,-inf,inf,0.0,1.0,0,1,11,11,3.9563229777483144e-10,44.385974499999996,0.01227184619000726,1,1,17,34,2.1515636899795415e-10,44.472993374,-1.0609106154295318e-14,,,,,,
poisson_control,poisson,9,526338,0.001,-inf,inf,0.0,3.0,0,1,11,11,4.3171697118331907e-10,44.449798833,0.012271846189933785,1,1,17,34,2.1459766214967243e-10,44.496356457000005,-9.013868565123456e-14,,,,,,
poisson_control,poisson,9,526338,0.0001,-inf,inf,0.0,20.0,0,1,11,11,4.4172110629030494e-10,44.407035958,0.012271846189896813,1,1,17,34,2.1355829112213765e-10,44.623389915000004,-1.3397002383229918e-13,,,,,,
poisson_control,poisson,9,526338,1e-05,-inf,inf,0.0,100.0,0,1,11,11,4.23930859358601e-10,44.441453417,0.012271846189891994,1,1,17,34,2.135739983021982e-10,44.704356624,-1.3981987321664872e-13,,,,,,
poisson_control,poisson,9,526338,1e-06,-inf,inf,0.0,300.0,0,1,11,11,4.1457770836919343e-10,44.531770875,0.012271846189891498,1,1,17,34,2.1580145414858503e-10,44.476507999,-1.4042324247579807e-13,,,,,,
poisson_control,poisson,10,2101250,1.0,-inf,inf,0.0,0.01,0,1,15,15,6.699400356577985e-10,856.2283079590001,0.012271849461565674,1,1,623,991,5.229494335007678e-10,2469.679940957,4.1152676429169695e-13,,,,,,
poisson_control,poisson,10,2101250,0.1,-inf,inf,0.0,0.1,0,1,15,15,6.699114946398346e-10,825.7057299170001,0.012271849461565542,1,1,389,665,9.148379126834779e-10,1949.61093054,2.531770526970854e-12,,,,,,
poisson_control,poisson,10,2101250,0.01,-inf,inf,0.0,1.0,0,1,15,15,6.898263404236084e-10,826.5260615420001,0.012271849461564453,1,1,605,991,8.908227251896718e-10,2005.804476124,-1.4858261056972062e-12,,,,,,
poisson_control,poisson,10,2101250,0.001,-inf,inf,0.0,3.0,0,1,15,15,6.699381615077282e-10,825.789440334,0.012271849461562824,1,1,848,1143,4.1597586722438186e-10,1766.209865832,1.1279117514038761e-12,,,,,,
poisson_control,poisson,10,2101250,0.0001,-inf,inf,0.0,20.0,0,1,15,15,6.699065165281823e-10,827.8315794590001,0.012271849461562498,1,1,603,870,7.762162738829838e-10,1681.8393288729999,-2.172764788224714e-12,,,,,,
poisson_control,poisson,10,2101250,1e-05,-inf,inf,0.0,100.0,0,1,15,15,6.699083861081268e-10,830.201210208,0.012271849461562463,1,1,474,770,3.814891388360026e-10,1704.108671082,-1.1013460903647009e-12,,,,,,
poisson_control,poisson,10,2101250,1e-06,-inf,inf,0.0,300.0,0,1,15,15,6.69923e-10,861.424,0.0122718,1,1,469,780,2.649085443793035e-10,1709.487824457,-3.2708802651362444e-13,,,,,,
